variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
storm_Milton,-0.007525952411644962,0.01888743363929088,-0.39846347340641247,0.690288577915143,-0.04454464210504537,0.029492737281755443,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
const,0.20187171196695947,0.022342264177326612,9.035418718744854,1.633757502549361e-19,0.15808167884631988,0.24566174508759905,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,***
delta_forecast_1_wind_z,-0.011954266266468274,0.007887221678501552,-1.5156498389099922,0.12960791763842275,-0.027412936694414868,0.0035044041614783195,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
delta_wind_kt_z,0.016980380073706794,0.009726699552258475,1.7457494171045986,0.08085450399473576,-0.0020836007371616873,0.03604436088457527,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,.
delta_fc_lag1_z,-0.011930230468255974,0.005154721324697729,-2.3144278258253967,0.020644266010969005,-0.02203329861500412,-0.0018271623215078275,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,*
delta_wind_lag1_z,0.012345448410812906,0.005972012434211159,2.0672174659401246,0.03871366713985187,0.0006405191245336568,0.024050377697092156,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,*
new_hurricane_warning,0.018433438401807483,0.01210304268273158,1.5230416751407485,0.12774827927494037,-0.005288089359697448,0.042154966163312414,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
warning_lag1,0.022799825012995472,0.011360227673651163,2.006986626322396,0.04475108700570036,0.0005341879164639483,0.045065462109527,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,*
new_hurricane_watch,-0.018858622783425975,0.007713092884975172,-2.44501434958237,0.014484637879675353,-0.033976007047389456,-0.0037412385194624965,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,*
prop_proximity,0.08883003939098193,0.0392540735520827,2.2629508571415227,0.0236387188286028,0.011893468982413571,0.16576660979955027,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,*
proximity:delta_forecast_1_wind_z,0.009337637868729477,0.03893482800689857,0.23982738197983078,0.8104640786011104,-0.06697322276905314,0.08564849850651209,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
proximity:delta_wind_kt_z,-0.008039567425461256,0.05519809576653093,-0.14564936188135685,0.8841981983065069,-0.11622584714305471,0.10014671229213219,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
storm_category_z,-0.0054080491875311484,0.003879421513730795,-1.3940349529923315,0.16330704995436407,-0.013011575635293366,0.002195477260231069,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
log_n_posts,-0.005003401841939965,0.004549164429010464,-1.0998507352323397,0.27139716254110846,-0.013919600282551193,0.003912796598671263,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
hour_sin,0.007465711564780002,0.004784822718600715,1.5602901097584014,0.11869133953306199,-0.0019123686360864277,0.016843791765646432,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
hour_cos,-0.006473095445660459,0.0035457577281457374,-1.8255887575955676,0.06791223051243445,-0.013422652890730668,0.00047646199940975034,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,.
storm_Harvey,0.0034393896030877275,0.023808777348177178,0.14445889231481474,0.8851381150886027,-0.0432249565152726,0.05010373572144805,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
storm_Ian,-0.002083430052809715,0.009811977168313148,-0.2123353955141636,0.8318453833232534,-0.021314551919832787,0.017147691814213356,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
storm_Ida,-0.022482365659920584,0.011885893511464667,-1.8915166653844724,0.058555408467288045,-0.045778288866469646,0.0008135575466284781,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,.
storm_Irma,0.0061817815055193225,0.007520305629002187,0.8220120046290641,0.41107006465523677,-0.008557746680058802,0.020921309691097446,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
storm_Milton,0.0025328815754643,0.01407877703152796,0.17990778387868314,0.8572249642606781,-0.025061014352700237,0.030126777503628833,Moderation H4: RPI_E,mean_rpi_e,857.0,0.12295031861295525,
